"id","date","assetid","assetname","telemetryid","telemetryname","containerid","sensorid","value","valueasstr","datatype","tenantid","timeseriedataloglabelrelationid"
cab52ca7-fd2f-45af-ac73-3d0028842a00,2022-11-15 17:54:33.166,"4a8b49a1-05dc-4667-5998-08dac15b184a",Divan,"28e6f516-c5a1-48c9-44dc-08dab1cb22a9",Divan Sicaklik 1,/cim-sp1_d06de686-be8e-4504-070c-08da59c702e6/cnt_6d1b8ede-e70d-4132-a296-5436d235d455,"00000000-0000-0000-0000-000000000000",24.83,"24.83",0,d06de686-be8e-4504-070c-08da59c702e6,
"5ef1ad50-f8a8-4605-9d31-226e6d9e0e66",2022-11-15 17:54:33.166,"4a8b49a1-05dc-4667-5998-08dac15b184a",Divan,"28e6f516-c5a1-48c9-44dc-08dab1cb22a9",Divan Sicaklik 1,/cim-sp1_d06de686-be8e-4504-070c-08da59c702e6/cnt_6d1b8ede-e70d-4132-a296-5436d235d455,"00000000-0000-0000-0000-000000000000",24.83,"24.83",0,d06de686-be8e-4504-070c-08da59c702e6,
"2a3bc086-e7eb-47c0-9d65-dbfe55b1da21",2022-11-15 17:59:03.011,"4a8b49a1-05dc-4667-5998-08dac15b184a",Divan,"28e6f516-c5a1-48c9-44dc-08dab1cb22a9",Divan Sicaklik 1,/cim-sp1_d06de686-be8e-4504-070c-08da59c702e6/cnt_6d1b8ede-e70d-4132-a296-5436d235d455,"00000000-0000-0000-0000-000000000000",24.82,"24.82",0,d06de686-be8e-4504-070c-08da59c702e6,
"37461cf8-e0bd-4f64-953d-e82239c224c6",2022-11-15 17:59:03.011,"4a8b49a1-05dc-4667-5998-08dac15b184a",Divan,"28e6f516-c5a1-48c9-44dc-08dab1cb22a9",Divan Sicaklik 1,/cim-sp1_d06de686-be8e-4504-070c-08da59c702e6/cnt_6d1b8ede-e70d-4132-a296-5436d235d455,"00000000-0000-0000-0000-000000000000",24.82,"24.82",0,d06de686-be8e-4504-070c-08da59c702e6,
"6b1b0670-156f-420c-8f2e-23ca14846914",2022-11-15 17:59:03.011,"4a8b49a1-05dc-4667-5998-08dac15b184a",Divan,"28e6f516-c5a1-48c9-44dc-08dab1cb22a9",Divan Sicaklik 1,/cim-sp1_d06de686-be8e-4504-070c-08da59c702e6/cnt_6d1b8ede-e70d-4132-a296-5436d235d455,"00000000-0000-0000-0000-000000000000",24.82,"24.82",0,d06de686-be8e-4504-070c-08da59c702e6,
b5493f29-a6fb-4685-ad2f-53e917c17813,2022-11-15 18:03:32.158,"4a8b49a1-05dc-4667-5998-08dac15b184a",Divan,"28e6f516-c5a1-48c9-44dc-08dab1cb22a9",Divan Sicaklik 1,/cim-sp1_d06de686-be8e-4504-070c-08da59c702e6/cnt_6d1b8ede-e70d-4132-a296-5436d235d455,"00000000-0000-0000-0000-000000000000",24.82,"24.82",0,d06de686-be8e-4504-070c-08da59c702e6,
ca7265a0-2a80-4b73-a383-ef274d35d0c6,2022-11-15 18:03:32.158,"4a8b49a1-05dc-4667-5998-08dac15b184a",Divan,"28e6f516-c5a1-48c9-44dc-08dab1cb22a9",Divan Sicaklik 1,/cim-sp1_d06de686-be8e-4504-070c-08da59c702e6/cnt_6d1b8ede-e70d-4132-a296-5436d235d455,"00000000-0000-0000-0000-000000000000",24.82,"24.82",0,d06de686-be8e-4504-070c-08da59c702e6,
"2fe8139c-7d12-4924-8a91-0a99745e7fc1",2022-11-15 18:03:32.158,"4a8b49a1-05dc-4667-5998-08dac15b184a",Divan,"28e6f516-c5a1-48c9-44dc-08dab1cb22a9",Divan Sicaklik 1,/cim-sp1_d06de686-be8e-4504-070c-08da59c702e6/cnt_6d1b8ede-e70d-4132-a296-5436d235d455,"00000000-0000-0000-0000-000000000000",24.82,"24.82",0,d06de686-be8e-4504-070c-08da59c702e6,
"499710b7-3290-45ee-9d36-044d90f6012d",2022-11-15 18:07:59.737,"4a8b49a1-05dc-4667-5998-08dac15b184a",Divan,"28e6f516-c5a1-48c9-44dc-08dab1cb22a9",Divan Sicaklik 1,/cim-sp1_d06de686-be8e-4504-070c-08da59c702e6/cnt_6d1b8ede-e70d-4132-a296-5436d235d455,"00000000-0000-0000-0000-000000000000",24.81,"24.81",0,d06de686-be8e-4504-070c-08da59c702e6,
d02b72c0-99e0-45de-b2f2-4c6ee788bebe,2022-11-15 18:07:59.737,"4a8b49a1-05dc-4667-5998-08dac15b184a",Divan,"28e6f516-c5a1-48c9-44dc-08dab1cb22a9",Divan Sicaklik 1,/cim-sp1_d06de686-be8e-4504-070c-08da59c702e6/cnt_6d1b8ede-e70d-4132-a296-5436d235d455,"00000000-0000-0000-0000-000000000000",24.81,"24.81",0,d06de686-be8e-4504-070c-08da59c702e6,
